date,country,D,H,I,M,S
2020-04-30,Italy,1,8,5,40,3
2020-04-30,Japan,2,17,6,95,2
2020-05-01,Italy,1,11,5,37,3
2020-05-01,Japan,2,18,8,91,3
2020-05-02,Italy,1,10,4,38,4
2020-05-02,Japan,2,19,9,88,4
2020-05-03,Italy,1,11,4,37,4
2020-05-03,Japan,2,19,11,86,4
2020-05-04,Italy,1,10,3,38,5
2020-05-04,Japan,2,19,14,83,4
2020-05-05,Italy,1,10,2,38,6
2020-05-05,Japan,2,17,15,83,5
2020-05-06,Italy,1,9,3,38,6
2020-05-06,Japan,2,18,14,82,6
2020-05-07,Italy,1,8,3,40,5
2020-05-07,Japan,2,16,15,83,6
2020-05-08,Italy,1,8,4,39,5
2020-05-08,Japan,2,15,14,84,7
2020-05-09,Italy,1,7,4,40,5
2020-05-09,Japan,2,21,11,80,8
2020-05-10,Italy,1,7,4,40,5
2020-05-10,Japan,2,21,10,79,10
2020-05-11,Italy,1,8,3,39,6
2020-05-11,Japan,2,24,10,77,9
2020-05-12,Italy,1,11,3,36,6
2020-05-12,Japan,2,24,11,74,11
2020-05-13,Italy,1,11,2,37,6
2020-05-13,Japan,2,24,13,71,12
2020-05-14,Italy,1,10,2,39,5
2020-05-14,Japan,2,24,17,67,12
2020-05-15,Italy,1,12,2,37,5
2020-05-15,Japan,2,26,14,67,13
2020-05-16,Italy,1,13,3,35,5
2020-05-16,Japan,2,25,16,66,13
2020-05-17,Italy,1,13,3,36,4
2020-05-17,Japan,2,30,13,64,13
2020-05-18,Italy,1,14,3,35,4
2020-05-18,Japan,2,27,13,65,15
2020-05-19,Italy,1,15,4,33,4
2020-05-19,Japan,2,26,12,65,17
2020-05-20,Italy,1,16,5,32,3
2020-05-20,Japan,2,24,15,64,17
2020-05-21,Italy,1,15,6,32,3
2020-05-21,Japan,2,26,14,62,18
2020-05-22,Italy,1,19,5,28,4
2020-05-22,Japan,2,28,14,60,18
2020-05-23,Italy,1,17,7,28,4
2020-05-23,Japan,2,25,15,63,17
2020-05-24,Italy,1,17,7,27,5
2020-05-24,Japan,2,25,14,64,17
2020-05-25,Italy,1,15,8,27,6
2020-05-25,Japan,2,25,12,68,15
2020-05-26,Italy,1,14,7,29,6
2020-05-26,Japan,2,24,12,68,16
2020-05-27,Italy,1,15,7,28,6
2020-05-27,Japan,2,23,14,68,15
2020-05-28,Italy,1,14,6,29,7
2020-05-28,Japan,2,21,12,72,15
2020-05-29,Italy,1,14,4,30,8
2020-05-29,Japan,2,20,14,71,15
2020-05-30,Italy,1,13,4,29,10
2020-05-30,Japan,2,17,17,72,14
2020-05-31,Italy,1,14,3,28,11
2020-05-31,Japan,2,16,15,75,14
2020-06-01,Italy,1,16,3,26,11
2020-06-01,Japan,2,16,13,77,14
2020-06-02,Italy,1,16,3,25,12
2020-06-02,Japan,2,14,13,80,13
2020-06-03,Italy,1,14,6,25,11
2020-06-03,Japan,2,15,9,84,12
2020-06-04,Italy,1,13,5,26,12
2020-06-04,Japan,2,15,4,86,15
2020-06-05,Italy,1,13,5,26,12
2020-06-05,Japan,2,13,5,89,13
2020-06-06,Italy,1,13,6,26,11
2020-06-06,Japan,2,13,5,88,14
2020-06-07,Italy,1,13,5,27,11
2020-06-07,Japan,2,12,4,91,13
2020-06-08,Italy,1,12,3,29,12
2020-06-08,Japan,2,10,6,92,12
2020-06-09,Italy,1,13,2,30,11
2020-06-09,Japan,2,9,7,92,12
2020-06-10,Italy,1,10,5,31,10
2020-06-10,Japan,2,8,7,93,12
2020-06-11,Italy,1,8,6,31,11
2020-06-11,Japan,2,9,6,94,11
2020-06-12,Italy,1,7,7,32,10
2020-06-12,Japan,2,11,5,93,11
2020-06-13,Italy,1,8,6,34,8
2020-06-13,Japan,2,11,3,95,11
2020-06-14,Italy,1,6,8,36,6
2020-06-14,Japan,2,11,3,95,11
2020-06-15,Italy,1,6,5,39,6
2020-06-15,Japan,2,11,1,97,11
2020-06-16,Italy,1,5,4,39,8
2020-06-16,Japan,2,10,2,98,10
2020-06-17,Italy,1,4,4,41,7
2020-06-17,Japan,2,11,3,97,9
2020-06-18,Italy,1,4,4,41,7
2020-06-18,Japan,2,8,6,98,8
2020-06-19,Italy,1,4,2,43,7
2020-06-19,Japan,2,8,5,103,4
2020-06-20,Italy,1,4,2,43,7
2020-06-20,Japan,2,8,6,102,4
2020-06-21,Italy,1,3,2,44,7
2020-06-21,Japan,2,7,6,103,4
2020-06-22,Italy,1,3,1,44,8
2020-06-22,Japan,2,6,6,104,4
2020-06-23,Italy,1,3,1,46,6
2020-06-23,Japan,2,4,5,105,6
2020-06-24,Italy,1,4,1,45,6
2020-06-24,Japan,2,4,5,105,6
2020-06-25,Italy,1,3,2,45,6
2020-06-25,Japan,2,2,6,107,5
2020-06-26,Italy,1,3,1,47,5
2020-06-26,Japan,2,2,5,107,6
2020-06-27,Italy,1,3,1,47,5
2020-06-27,Japan,2,2,4,109,5
2020-06-28,Italy,1,3,1,47,5
2020-06-28,Japan,2,2,2,110,6
2020-06-29,Italy,1,3,1,47,5
2020-06-29,Japan,2,2,2,110,6
2020-06-30,Italy,1,3,0,48,5
2020-06-30,Japan,2,2,0,113,5
2020-07-01,Italy,1,3,0,50,3
2020-07-01,Japan,2,1,1,113,5
2020-07-02,Italy,1,2,1,50,3
2020-07-02,Japan,2,1,1,113,5
2020-07-03,Italy,1,2,1,50,3
2020-07-03,Japan,2,1,1,113,5
2020-07-04,Italy,1,1,2,51,2
2020-07-04,Japan,2,1,1,113,5
2020-07-05,Italy,1,1,2,51,2
2020-07-05,Japan,2,0,2,113,5
2020-07-06,Italy,1,1,2,51,2
2020-07-06,Japan,2,0,1,114,5
2020-07-07,Italy,1,1,1,53,1
2020-07-07,Japan,2,1,1,113,5
2020-07-08,Italy,1,1,1,53,1
2020-07-08,Japan,2,1,1,115,3
2020-07-09,Italy,1,1,0,53,2
2020-07-09,Japan,2,1,1,115,3
2020-07-10,Italy,1,0,1,53,2
2020-07-10,Japan,2,1,0,116,3
2020-07-11,Italy,1,0,1,53,2
2020-07-11,Japan,2,1,0,117,2
2020-07-12,Italy,1,0,1,53,2
2020-07-12,Japan,2,1,0,117,2
2020-07-13,Italy,1,0,1,53,2
2020-07-13,Japan,2,1,0,118,1
2020-07-14,Italy,1,0,1,53,2
2020-07-14,Japan,2,1,0,118,1
2020-07-15,Italy,1,0,0,55,1
2020-07-15,Japan,2,1,0,118,1
2020-07-16,Italy,1,0,0,55,1
2020-07-16,Japan,2,1,0,118,1
2020-07-17,Italy,1,0,0,55,1
2020-07-17,Japan,2,1,0,118,1
2020-07-18,Italy,1,0,0,55,1
2020-07-18,Japan,2,1,0,118,1
2020-07-19,Italy,1,0,0,55,1
2020-07-19,Japan,2,1,0,118,1
2020-07-20,Italy,1,0,0,55,1
2020-07-20,Japan,2,1,0,118,1
2020-07-21,Italy,1,0,0,55,1
2020-07-21,Japan,2,1,0,119,0
2020-07-22,Italy,1,0,0,55,1
2020-07-22,Japan,2,1,0,119,0
2020-07-23,Italy,1,0,0,55,1
2020-07-23,Japan,2,1,0,119,0
2020-07-24,Italy,1,0,0,56,0
2020-07-24,Japan,2,1,0,119,0
2020-07-25,Italy,1,0,0,56,0
2020-07-25,Japan,2,0,1,119,0
2020-07-26,Italy,1,0,0,56,0
2020-07-26,Japan,2,0,1,119,0
2020-07-27,Italy,1,0,0,56,0
2020-07-27,Japan,2,0,1,119,0
2020-07-28,Italy,1,0,0,56,0
2020-07-28,Japan,2,0,1,119,0
2020-07-29,Italy,1,0,0,56,0
2020-07-29,Japan,2,0,1,119,0
2020-07-30,Italy,1,0,0,56,0
2020-07-30,Japan,2,0,0,120,0
2020-07-31,Italy,1,0,0,56,0
2020-07-31,Japan,2,0,0,120,0
2020-08-01,Italy,1,0,0,56,0
2020-08-01,Japan,2,0,0,120,0
2020-08-02,Italy,1,0,0,56,0
2020-08-02,Japan,2,0,0,120,0
2020-08-03,Italy,1,0,0,56,0
2020-08-03,Japan,2,0,0,120,0
2020-08-04,Italy,1,0,0,56,0
2020-08-04,Japan,2,0,0,120,0
2020-08-05,Italy,1,0,0,56,0
2020-08-05,Japan,2,0,0,120,0
2020-08-06,Italy,1,0,0,56,0
2020-08-06,Japan,2,0,0,120,0
2020-08-07,Italy,1,0,0,56,0
2020-08-07,Japan,2,0,0,120,0
2020-08-08,Italy,1,0,0,56,0
2020-08-08,Japan,2,0,0,120,0
2020-08-09,Italy,1,0,0,56,0
2020-08-09,Japan,2,0,0,120,0
2020-08-10,Italy,1,0,0,56,0
2020-08-10,Japan,2,0,0,120,0
2020-08-11,Italy,1,0,0,56,0
2020-08-11,Japan,2,0,0,120,0
2020-08-12,Italy,1,0,0,56,0
2020-08-12,Japan,2,0,0,120,0
2020-08-13,Italy,1,0,0,56,0
2020-08-13,Japan,2,0,0,120,0
2020-08-14,Italy,1,0,0,56,0
2020-08-14,Japan,2,0,0,120,0
2020-08-15,Italy,1,0,0,56,0
2020-08-15,Japan,2,0,0,120,0
2020-08-16,Italy,1,0,0,56,0
2020-08-16,Japan,2,0,0,120,0
2020-08-17,Italy,1,0,0,56,0
2020-08-17,Japan,2,0,0,120,0
2020-08-18,Italy,1,0,0,56,0
2020-08-18,Japan,2,0,0,120,0
2020-08-19,Italy,1,0,0,56,0
2020-08-19,Japan,2,0,0,120,0
2020-08-20,Italy,1,0,0,56,0
2020-08-20,Japan,2,0,0,120,0
2020-08-21,Italy,1,0,0,56,0
2020-08-21,Japan,2,0,0,120,0
2020-08-22,Italy,1,0,0,56,0
2020-08-22,Japan,2,0,0,120,0
2020-08-23,Italy,1,0,0,56,0
2020-08-23,Japan,2,0,0,120,0
2020-08-24,Italy,1,0,0,56,0
2020-08-24,Japan,2,0,0,120,0
2020-08-25,Italy,1,1,0,55,0
2020-08-25,Japan,2,0,0,120,0
2020-08-26,Italy,1,1,0,55,0
2020-08-26,Japan,2,0,0,120,0
2020-08-27,Italy,1,1,0,55,0
2020-08-27,Japan,2,0,0,120,0
2020-08-28,Italy,1,1,0,55,0
2020-08-28,Japan,2,0,0,120,0
2020-08-29,Italy,1,1,0,55,0
2020-08-29,Japan,2,0,0,120,0
2020-08-30,Italy,1,1,0,55,0
2020-08-30,Japan,2,0,0,120,0
2020-08-31,Italy,1,2,0,54,0
2020-08-31,Japan,2,0,0,120,0
2020-09-01,Italy,1,1,1,54,0
2020-09-01,Japan,2,0,0,120,0
2020-09-02,Italy,1,2,1,53,0
2020-09-02,Japan,2,0,0,120,0
2020-09-03,Italy,1,2,1,53,0
2020-09-03,Japan,2,3,0,117,0
2020-09-04,Italy,1,2,1,53,0
2020-09-04,Japan,2,5,0,115,0
2020-09-05,Italy,1,4,1,51,0
2020-09-05,Japan,2,7,0,113,0
2020-09-06,Italy,1,4,0,52,0
2020-09-06,Japan,2,7,1,112,0
2020-09-07,Italy,1,4,1,51,0
2020-09-07,Japan,2,8,2,110,0
2020-09-08,Italy,1,4,1,51,0
2020-09-08,Japan,2,11,2,107,0
2020-09-09,Italy,1,4,1,51,0
2020-09-09,Japan,2,13,3,104,0
2020-09-10,Italy,1,5,1,50,0
2020-09-10,Japan,2,11,6,103,0
2020-09-11,Italy,1,6,1,49,0
2020-09-11,Japan,2,9,7,104,0
2020-09-12,Italy,1,8,0,48,0
2020-09-12,Japan,2,7,8,105,0
2020-09-13,Italy,1,6,2,48,0
2020-09-13,Japan,2,10,8,102,0
2020-09-14,Italy,1,4,4,48,0
2020-09-14,Japan,2,11,8,101,0
2020-09-15,Italy,1,6,4,46,0
2020-09-15,Japan,2,13,7,97,3
2020-09-16,Italy,1,5,5,46,0
2020-09-16,Japan,2,14,5,97,4
2020-09-17,Italy,1,5,6,45,0
2020-09-17,Japan,2,15,4,97,4
2020-09-18,Italy,1,4,6,45,1
2020-09-18,Japan,2,16,4,96,4
2020-09-19,Italy,1,5,4,45,2
2020-09-19,Japan,2,17,5,93,5
2020-09-20,Italy,1,4,5,45,2
2020-09-20,Japan,2,16,5,94,5
2020-09-21,Italy,1,4,4,46,2
2020-09-21,Japan,2,18,7,90,5
2020-09-22,Italy,1,5,3,45,3
2020-09-22,Japan,2,18,9,87,6
2020-09-23,Italy,1,5,1,46,4
2020-09-23,Japan,2,22,11,81,6
2020-09-24,Italy,1,7,1,44,4
2020-09-24,Japan,2,23,10,79,8
2020-09-25,Italy,1,5,2,44,5
2020-09-25,Japan,2,22,11,79,8
2020-09-26,Italy,1,6,2,43,5
2020-09-26,Japan,2,24,11,76,9
2020-09-27,Italy,1,6,3,42,5
2020-09-27,Japan,2,26,8,76,10
2020-09-28,Italy,1,4,5,42,5
2020-09-28,Japan,2,27,8,74,11
2020-09-29,Italy,1,4,5,42,5
2020-09-29,Japan,2,27,10,72,11
2020-09-30,Italy,1,4,3,44,5
2020-09-30,Japan,2,29,8,73,10
2020-10-01,Italy,1,4,3,44,5
2020-10-01,Japan,2,27,11,72,10
2020-10-02,Italy,1,4,3,44,5
2020-10-02,Japan,2,29,14,67,10
2020-10-03,Italy,1,4,2,46,4
2020-10-03,Japan,2,30,13,65,12
2020-10-04,Italy,1,3,3,47,3
2020-10-04,Japan,2,31,12,65,12
2020-10-05,Italy,1,4,3,46,3
2020-10-05,Japan,2,27,15,66,12
2020-10-06,Italy,1,5,3,45,3
2020-10-06,Japan,2,26,14,66,14
2020-10-07,Italy,1,7,2,45,2
2020-10-07,Japan,2,26,12,69,13
2020-10-08,Italy,1,9,1,44,2
2020-10-08,Japan,2,24,13,69,14
2020-10-09,Italy,1,9,1,44,2
2020-10-09,Japan,2,18,19,70,13
2020-10-10,Italy,1,9,1,45,1
2020-10-10,Japan,2,18,17,70,15
2020-10-11,Italy,1,9,2,44,1
2020-10-11,Japan,2,17,15,73,15
2020-10-12,Italy,1,10,4,41,1
2020-10-12,Japan,2,18,15,72,15
2020-10-13,Italy,1,12,4,39,1
2020-10-13,Japan,2,17,15,73,15
2020-10-14,Italy,1,14,4,36,2
2020-10-14,Japan,2,19,7,74,20
2020-10-15,Italy,1,13,5,36,2
2020-10-15,Japan,2,18,7,75,20
2020-10-16,Italy,1,12,7,34,3
2020-10-16,Japan,2,19,5,76,20
2020-10-17,Italy,1,10,7,36,3
2020-10-17,Japan,2,20,4,76,20
2020-10-18,Italy,1,11,8,34,3
2020-10-18,Japan,2,24,3,73,20
2020-10-19,Italy,1,11,7,35,3
2020-10-19,Japan,2,20,7,74,19
2020-10-20,Italy,1,10,8,35,3
2020-10-20,Japan,2,19,7,75,19
2020-10-21,Italy,1,9,6,36,5
2020-10-21,Japan,2,19,8,76,17
2020-10-22,Italy,1,10,5,36,5
2020-10-22,Japan,2,20,8,75,17
2020-10-23,Italy,1,9,5,38,4
2020-10-23,Japan,2,19,8,76,17
2020-10-24,Italy,1,9,5,38,4
2020-10-24,Japan,2,17,8,75,20
2020-10-25,Italy,1,11,3,37,5
2020-10-25,Japan,2,16,7,78,19
2020-10-26,Italy,1,11,2,38,5
2020-10-26,Japan,2,17,7,77,19
2020-10-27,Italy,1,8,4,39,5
2020-10-27,Japan,2,17,8,77,18
2020-10-28,Italy,1,6,5,40,5
2020-10-28,Japan,2,16,8,79,17
2020-10-29,Italy,1,6,6,40,4
2020-10-29,Japan,3,17,6,81,15
2020-10-30,Italy,1,5,9,38,4
2020-10-30,Japan,3,15,7,83,14
2020-10-31,Italy,1,4,10,39,3
2020-10-31,Japan,3,13,8,85,13
2020-11-01,Italy,1,4,7,42,3
2020-11-01,Japan,3,10,10,85,14
2020-11-02,Italy,1,5,5,42,4
2020-11-02,Japan,3,10,9,87,13
2020-11-03,Italy,1,4,5,43,4
2020-11-03,Japan,3,9,8,88,14
2020-11-04,Italy,1,4,2,45,5
2020-11-04,Japan,3,9,7,88,15
2020-11-05,Italy,1,6,1,46,3
2020-11-05,Japan,3,9,5,89,16
2020-11-06,Italy,1,6,1,46,3
2020-11-06,Japan,3,10,3,90,16
2020-11-07,Italy,1,6,1,46,3
2020-11-07,Japan,3,9,4,91,15
2020-11-08,Italy,1,6,0,47,3
2020-11-08,Japan,3,9,4,95,11
2020-11-09,Italy,1,6,0,48,2
2020-11-09,Japan,3,10,3,95,11
2020-11-10,Italy,1,6,0,48,2
2020-11-10,Japan,3,8,5,96,10
2020-11-11,Italy,1,6,0,48,2
2020-11-11,Japan,3,8,5,96,10
2020-11-12,Italy,1,6,0,48,2
2020-11-12,Japan,3,7,5,96,11
2020-11-13,Italy,1,7,1,46,2
2020-11-13,Japan,3,7,4,100,8
2020-11-14,Italy,1,6,2,46,2
2020-11-14,Japan,3,6,5,101,7
2020-11-15,Italy,1,5,3,46,2
2020-11-15,Japan,3,4,5,102,8
2020-11-16,Italy,1,5,3,46,2
2020-11-16,Japan,3,4,4,103,8
2020-11-17,Italy,1,5,3,47,1
2020-11-17,Japan,3,4,3,104,8
2020-11-18,Italy,1,4,3,48,1
2020-11-18,Japan,3,3,4,105,7
2020-11-19,Italy,1,4,2,49,1
2020-11-19,Japan,3,4,3,106,6
2020-11-20,Italy,1,3,2,50,1
2020-11-20,Japan,3,4,1,109,5
2020-11-21,Italy,1,3,2,50,1
2020-11-21,Japan,3,4,1,109,5
2020-11-22,Italy,1,4,2,49,1
2020-11-22,Japan,3,3,2,109,5
2020-11-23,Italy,1,4,1,50,1
2020-11-23,Japan,3,3,1,109,6
2020-11-24,Italy,1,3,2,50,1
2020-11-24,Japan,3,3,1,110,5
2020-11-25,Italy,1,3,1,50,2
2020-11-25,Japan,3,3,1,110,5
2020-11-26,Italy,1,3,1,50,2
2020-11-26,Japan,3,3,1,110,5
2020-11-27,Italy,1,3,1,50,2
2020-11-27,Japan,3,2,1,112,4
2020-11-28,Italy,1,2,2,50,2
2020-11-28,Japan,3,3,1,111,4
2020-11-29,Italy,1,1,2,51,2
2020-11-29,Japan,3,3,1,111,4
2020-11-30,Italy,1,1,2,51,2
2020-11-30,Japan,3,2,2,112,3
2020-12-01,Italy,1,1,2,51,2
2020-12-01,Japan,3,2,2,113,2
2020-12-02,Italy,1,1,2,51,2
2020-12-02,Japan,3,2,1,114,2
2020-12-03,Italy,1,1,1,51,3
2020-12-03,Japan,3,2,1,114,2
2020-12-04,Italy,1,1,0,52,3
2020-12-04,Japan,3,1,2,114,2
2020-12-05,Italy,1,0,1,52,3
2020-12-05,Japan,3,1,1,114,3
2020-12-06,Italy,1,0,1,52,3
2020-12-06,Japan,3,1,1,114,3
2020-12-07,Italy,1,0,1,52,3
2020-12-07,Japan,3,1,1,114,3
2020-12-08,Italy,1,0,1,52,3
2020-12-08,Japan,3,1,1,115,2
2020-12-09,Italy,1,0,1,52,3
2020-12-09,Japan,3,1,0,115,3
2020-12-10,Italy,1,0,0,53,3
2020-12-10,Japan,3,1,0,115,3
2020-12-11,Italy,1,0,0,53,3
2020-12-11,Japan,3,1,0,115,3
2020-12-12,Italy,1,0,0,53,3
2020-12-12,Japan,3,1,0,115,3
2020-12-13,Italy,1,0,0,53,3
2020-12-13,Japan,3,1,0,115,3
2020-12-14,Italy,1,0,0,53,3
2020-12-14,Japan,3,1,0,115,3
2020-12-15,Italy,1,0,0,53,3
2020-12-15,Japan,3,1,0,115,3
2020-12-16,Italy,1,0,0,53,3
2020-12-16,Japan,3,1,0,115,3
2020-12-17,Italy,1,0,0,53,3
2020-12-17,Japan,3,1,0,116,2
2020-12-18,Italy,1,0,0,54,2
2020-12-18,Japan,3,0,1,116,2
2020-12-19,Italy,1,0,0,55,1
2020-12-19,Japan,3,0,1,116,2
2020-12-20,Italy,1,0,0,55,1
2020-12-20,Japan,3,0,1,117,1
2020-12-21,Italy,1,0,0,55,1
2020-12-21,Japan,3,0,1,117,1
2020-12-22,Italy,1,0,0,55,1
2020-12-22,Japan,3,0,1,117,1
2020-12-23,Italy,1,0,0,55,1
2020-12-23,Japan,3,0,0,117,2
2020-12-24,Italy,1,0,0,55,1
2020-12-24,Japan,3,0,0,118,1
2020-12-25,Italy,1,0,0,56,0
2020-12-25,Japan,3,0,0,118,1
2020-12-26,Italy,1,0,0,56,0
2020-12-26,Japan,3,0,0,118,1
2020-12-27,Italy,1,0,0,56,0
2020-12-27,Japan,3,0,0,118,1
2020-12-28,Italy,1,0,0,56,0
2020-12-28,Japan,3,0,0,118,1
2020-12-29,Italy,1,0,0,56,0
2020-12-29,Japan,3,0,0,118,1
2020-12-30,Italy,1,0,0,56,0
2020-12-30,Japan,3,0,0,118,1
2020-12-31,Italy,1,0,0,56,0
2020-12-31,Japan,3,0,0,118,1
2021-01-01,Italy,1,0,0,56,0
2021-01-01,Japan,3,0,0,118,1
2021-01-02,Italy,1,0,0,56,0
2021-01-02,Japan,3,0,0,118,1
2021-01-03,Italy,1,0,0,56,0
2021-01-03,Japan,3,0,0,118,1
2021-01-04,Italy,1,0,0,56,0
2021-01-04,Japan,3,0,0,118,1
2021-01-05,Italy,1,1,0,55,0
2021-01-05,Japan,3,0,0,118,1
2021-01-06,Italy,1,1,0,55,0
2021-01-06,Japan,3,0,0,118,1
2021-01-07,Italy,1,1,0,55,0
2021-01-07,Japan,3,0,0,119,0
2021-01-08,Italy,1,1,0,55,0
2021-01-08,Japan,3,0,0,119,0
2021-01-09,Italy,1,1,0,55,0
2021-01-09,Japan,3,0,0,119,0
2021-01-10,Italy,1,1,0,55,0
2021-01-10,Japan,3,1,0,118,0
2021-01-11,Italy,1,2,0,54,0
2021-01-11,Japan,3,2,0,117,0
2021-01-12,Italy,1,2,0,54,0
2021-01-12,Japan,3,1,1,117,0
2021-01-13,Italy,1,2,0,54,0
2021-01-13,Japan,3,2,1,116,0
2021-01-14,Italy,1,2,0,54,0
2021-01-14,Japan,3,2,1,116,0
2021-01-15,Italy,1,2,0,54,0
2021-01-15,Japan,3,3,1,115,0
2021-01-16,Italy,1,2,0,54,0
2021-01-16,Japan,3,4,2,113,0
2021-01-17,Italy,1,3,0,53,0
2021-01-17,Japan,3,4,1,113,1
2021-01-18,Italy,1,4,0,52,0
2021-01-18,Japan,3,4,1,113,1
2021-01-19,Italy,1,4,0,52,0
2021-01-19,Japan,3,6,1,111,1
2021-01-20,Italy,1,4,1,51,0
2021-01-20,Japan,3,6,1,111,1
2021-01-21,Italy,1,3,2,51,0
2021-01-21,Japan,3,6,0,112,1
2021-01-22,Italy,1,3,3,50,0
2021-01-22,Japan,3,6,0,112,1
2021-01-23,Italy,1,2,4,50,0
2021-01-23,Japan,3,4,2,112,1
2021-01-24,Italy,1,2,4,50,0
2021-01-24,Japan,3,5,3,110,1
2021-01-25,Italy,1,2,3,51,0
2021-01-25,Japan,3,5,4,109,1
2021-01-26,Italy,1,2,2,51,1
2021-01-26,Japan,3,7,4,107,1
2021-01-27,Italy,1,2,1,51,2
2021-01-27,Japan,3,7,5,106,1
2021-01-28,Italy,1,2,0,51,3
